Ticket ID,Subject,Description,Category,Subcategory,Department,Assigned Resolver,Assigned Team,Status,Resolution Notes,Created,Resolved,Reassigned,latent_problem_id,had_context,true_category,subject_clean,desc_clean,text,res_clean,y_category,y_team,y_category_id,y_team_id
MU-103971,Forgot password,"Hello, My login keeps failing in the staff room. this is for my staff domain account.",Account & Access Management,Password reset,Finance Department,ICT-SYS-03,Systems & Accounts Team,Closed,"Verified the requester's identity against staff/student records, reset the account password in Active Directory and issued a temporary password with a forced change at next logon.",2024-09-13 07:21,2024-09-13 11:17,No,ACC-PWD-RESET,Yes,Account & Access Management,forgot password,hello my login keeps failing in the staff room this is for my staff domain account,forgot password forgot password hello my login keeps failing in the staff room this is for my staff domain account,"Verified the requester's identity against staff/student records, reset the account password in Active Directory and issued a temporary password with a forced change at next logon.",Account & Access Management,Systems & Accounts Team,0,5
MU-104259,Issue affecting my work,"Dear ICT, Permission is denied when i try. i would appreciate your help. Thank you.",Network & Connectivity,Wi-Fi,School of Law,ICT-NET-02,Network Team,Closed,Reset the wireless access point serving the block and re-authenticated the user device on MU-WiFi. Confirmed connectivity restored.,2025-03-19 15:50,2025-03-21 06:59,No,NET-WIFI-NOCONN,No,Network & Connectivity,issue affecting my work,dear ict permission is denied when i try i would appreciate your help thank you,issue affecting my work issue affecting my work dear ict permission is denied when i try i would appreciate your help thank you,Reset the wireless access point serving the block and re-authenticated the user device on MU-WiFi. Confirmed connectivity restored.,Network & Connectivity,Network Team,5,4
MU-101454,Online meeting issue,"Good morning, I have no access in our department. kindly treat as urgent. Kindly assist.",Application Support,Online meetings,School of Science,ICT-APP-01,Applications Support Team,Closed,"Reinstalled the conferencing client, granted the required microphone and camera permissions and validated a test meeting session with the user. Ticket closed.",2024-05-04 07:47,2024-05-05 06:57,No,EML-MEETING,No,Email & Collaboration,online meeting issue,good morning i have no access in our department kindly treat as urgent kindly assist,online meeting issue online meeting issue good morning i have no access in our department kindly treat as urgent kindly assist,"Reinstalled the conferencing client, granted the required microphone and camera permissions and validated a test meeting session with the user. Ticket closed.",Application Support,Applications Support Team,1,0
MU-104517,SUPPORT REQUEST,"Good morning, It has refuseed to work and there is no wifi in our block since this morning. my colleague is not having the same problem. Kindly assist.",Network & Connectivity,Wi-Fi,School of Science,ICT-NET-03,Network Team,Closed,Reset the wireless access point serving the block and re-authenticated the user device on MU-WiFi. Confirmed connectivity restored. Advised the user to report any recurrence.,2024-07-31 17:22,2024-08-01 01:11,No,NET-WIFI-NOCONN,Yes,Network & Connectivity,support request,good morning it has refuseed to work and there is no wifi in our block since this morning my colleague is not having the same problem kindly assist,support request support request good morning it has refuseed to work and there is no wifi in our block since this morning my colleague is not having the same problem kindly assist,Reset the wireless access point serving the block and re-authenticated the user device on MU-WiFi. Confirmed connectivity restored. Advised the user to report any recurrence.,Network & Connectivity,Network Team,5,4
MU-101250,Issue affecting my work,It refuses to let me in. it disconnects when i try to post a transaction since this morning. i would appreciate your help. Your assistance will be appreciated.,Application Support,ERP / Finance system,School of Engineering,ICT-APP-01,Applications Support Team,Closed,"Cleared the corrupted local client cache, updated the ERP client to the current build and re-established the database connection profile. Confirmed normal operation.",2024-01-21 09:21,2024-01-24 13:51,Yes,APP-ERP,Yes,Application Support,issue affecting my work,it refuses to let me in it disconnects when i try to post a transaction since this morning i would appreciate your help your assistance will be appreciated,issue affecting my work issue affecting my work it refuses to let me in it disconnects when i try to post a transaction since this morning i would appreciate your help your assistance will be appreciated,"Cleared the corrupted local client cache, updated the ERP client to the current build and re-established the database connection profile. Confirmed normal operation.",Application Support,Applications Support Team,1,0
MU-102427,ISSUE AFFECTING MY WORK,Nothing is happening in our block. the deadline is today. i would appreciate your help.,Email & Collaboration,Mailbox quota,School of Science,ICT-SYS-04,Systems & Accounts Team,Closed,"Advised the user on archiving, purged deleted items and increased the mailbox quota in line with the ICT storage policy. Confirmed mail flow resumed.",2024-11-22 09:23,2024-11-24 02:44,Yes,EML-MAILBOX-FULL,No,Email & Collaboration,issue affecting my work,nothing is happening in our block the deadline is today i would appreciate your help,issue affecting my work issue affecting my work nothing is happening in our block the deadline is today i would appreciate your help,"Advised the user on archiving, purged deleted items and increased the mailbox quota in line with the ICT storage policy. Confirmed mail flow resumed.",Email & Collaboration,Systems & Accounts Team,2,5
MU-103501,Forgot password,I cannot login in lecture hall three. this is for my staff domain account since friday. Thanks in advance.,Account & Access Management,Password reset,Registrar (Academic),ICT-SYS-02,Systems & Accounts Team,Closed,"Verified the requester's identity against staff/student records, reset the account password in Active Directory and issued a temporary password with a forced change at next logon.",2025-11-22 14:23,2025-11-22 17:09,No,ACC-PWD-RESET,Yes,Account & Access Management,forgot password,i cannot login in lecture hall three this is for my staff domain account since friday thanks in advance,forgot password forgot password i cannot login in lecture hall three this is for my staff domain account since friday thanks in advance,"Verified the requester's identity against staff/student records, reset the account password in Active Directory and issued a temporary password with a forced change at next logon.",Account & Access Management,Systems & Accounts Team,0,5
MU-104611,Cannot register unitts,"Greetings, My login keeps failing in our department. it says my registration is not allowed. i have already restarted the machine. kindly assist urgntly. Kindly assist.",Student Information System,Unit registration,University Library,ICT-MIS-02,MIS / SIS Support Team,Closed,"Confirmed fee-balance and academic-status flags blocking registration, cleared the eligibility block after finance confirmation and verified the student completed unit registration.",2024-10-06 10:32,2024-10-06 21:03,No,SIS-REG,Yes,Student Information System,cannot register unitts,greetings my login keeps failing in our department it says my registration is not allowed i have already restarted the machine kindly assist urgently kindly assist,cannot register unitts cannot register unitts greetings my login keeps failing in our department it says my registration is not allowed i have already restarted the machine kindly assist urgently kindly assist,"Confirmed fee-balance and academic-status flags blocking registration, cleared the eligibility block after finance confirmation and verified the student completed unit registration.",Student Information System,MIS / SIS Support Team,6,3
MU-100271,Request for new account,Kindly create an account. the new tutorial fellow reported this week. i have already restarted the machine. Awaiting your response.,Account & Access Management,New account,ICT Directorate,ICT-SYS-02,Systems & Accounts Team,Closed,"Created the domain account and mailbox from the approved appointment letter, assigned the departmental security groups and issued credentials to the user.",2024-06-02 10:51,2024-06-02 14:18,No,ACC-NEW,Yes,Account & Access Management,request for new account,kindly create an account the new tutorial fellow reported this week i have already restarted the machine awaiting your response,request for new account request for new account kindly create an account the new tutorial fellow reported this week i have already restarted the machine awaiting your response,"Created the domain account and mailbox from the approved appointment letter, assigned the departmental security groups and issued credentials to the user.",Account & Access Management,Systems & Accounts Team,0,5
MU-101930,Portal login issue,"Dear Sir/Madam, It says my details are wrong. Awaiting your response.",Learning Management System,Access,ICT Directorate,ICT-ELN-01,eLearning Support Unit,Closed,Confirmed the account existed on the LMS but was not synchronised with the directory; re-synchronised the user record and verified successful login.,2025-04-19 13:31,2025-04-20 17:39,No,LMS-LOGIN,No,Learning Management System,portal login issue,dear sir madam it says my details are wrong awaiting your response,portal login issue portal login issue dear sir madam it says my details are wrong awaiting your response,Confirmed the account existed on the LMS but was not synchronised with the directory; re-synchronised the user record and verified successful login.,Learning Management System,eLearning Support Unit,4,6
MU-104756,Kindly assist,"Greetings, It is givnig an error. the printouts are faint and streaky. i have a class shortly. please help. Awaiting your response.",Hardware & Equipment,Printer,Registrar (Academic),ICT-APP-02,Applications Support Team,Closed,"Cleared the paper path obstruction, replaced the worn pickup roller and ran a cleaning cycle. Confirmed clean output on a test print. User confirmed the issue was resolved.",2024-05-25 14:04,2024-05-27 22:01,No,HW-PRINTER,Yes,Hardware & Equipment,kindly assist,greetings it is givnig an error the printouts are faint and streaky i have a class shortly please help awaiting your response,kindly assist kindly assist greetings it is givnig an error the printouts are faint and streaky i have a class shortly please help awaiting your response,"Cleared the paper path obstruction, replaced the worn pickup roller and ran a cleaning cycle. Confirmed clean output on a test print. User confirmed the issue was resolved.",Hardware & Equipment,Applications Support Team,3,0
