Ticket ID,latent_problem_id,had_context,true_category
MU-103971,ACC-PWD-RESET,Yes,Account & Access Management
MU-104259,NET-WIFI-NOCONN,No,Network & Connectivity
MU-101454,EML-MEETING,No,Email & Collaboration
MU-104517,NET-WIFI-NOCONN,Yes,Network & Connectivity
MU-101250,APP-ERP,Yes,Application Support
MU-102427,EML-MAILBOX-FULL,No,Email & Collaboration
MU-103501,ACC-PWD-RESET,Yes,Account & Access Management
MU-104611,SIS-REG,Yes,Student Information System
MU-100271,ACC-NEW,Yes,Account & Access Management
MU-101930,LMS-LOGIN,No,Learning Management System
MU-104756,HW-PRINTER,Yes,Hardware & Equipment
MU-101816,APP-PRINT-SW,Yes,Application Support
MU-103352,ACC-PWD-RESET,Yes,Account & Access Management
MU-101270,NET-SLOW,Yes,Network & Connectivity
MU-102349,APP-ERP,No,Application Support
MU-103597,ACC-PWD-RESET,No,Account & Access Management
MU-101516,ACC-LOCKED,Yes,Account & Access Management
MU-101621,LMS-UPLOAD,Yes,Learning Management System
MU-103157,APP-ERP,No,Application Support
MU-104014,ACC-PWD-RESET,No,Account & Access Management
MU-104584,SIS-REG,Yes,Student Information System
MU-103411,APP-ERP,Yes,Application Support
MU-104019,APP-LICENCE,No,Application Support
MU-103274,ACC-NEW,Yes,Account & Access Management
MU-101824,ACC-PWD-RESET,No,Account & Access Management
MU-102604,NET-WIFI-NOCONN,Yes,Network & Connectivity
MU-101447,APP-LICENCE,No,Application Support
MU-100501,APP-ERP,Yes,Application Support
MU-103537,HW-PC-NOBOOT,Yes,Hardware & Equipment
MU-102017,NET-WIFI-NOCONN,Yes,Network & Connectivity
MU-102028,HW-PROJECTOR,No,Hardware & Equipment
MU-103337,HW-PC-SLOW,Yes,Hardware & Equipment
MU-100214,LMS-LOGIN,Yes,Learning Management System
MU-104695,NET-SLOW,Yes,Network & Connectivity
MU-101663,ACC-NEW,No,Account & Access Management
MU-100612,ACC-NEW,Yes,Account & Access Management
MU-104856,NET-WIFI-NOCONN,Yes,Network & Connectivity
MU-103100,ACC-PWD-RESET,Yes,Account & Access Management
MU-101010,HW-PERIPHERAL,Yes,Hardware & Equipment
MU-101183,ACC-LOCKED,Yes,Account & Access Management
MU-104887,NET-LAN-PORT,Yes,Network & Connectivity
MU-102556,ACC-PWD-RESET,No,Account & Access Management
MU-104469,APP-ERP,Yes,Application Support
MU-100903,NET-VPN,No,Network & Connectivity
MU-100971,SIS-FEE,Yes,Student Information System
MU-101531,HW-PERIPHERAL,No,Hardware & Equipment
MU-101854,NET-WIFI-NOCONN,Yes,Network & Connectivity
MU-103266,ACC-PWD-RESET,Yes,Account & Access Management
MU-100006,LMS-COURSE-MISSING,Yes,Learning Management System
MU-103841,APP-LICENCE,Yes,Application Support
MU-104796,HW-PRINTER,No,Hardware & Equipment
MU-101776,SIS-REG,Yes,Student Information System
MU-102027,ACC-LOCKED,No,Account & Access Management
MU-103046,ACC-LOCKED,Yes,Account & Access Management
MU-103734,ACC-PWD-RESET,Yes,Account & Access Management
MU-101539,SIS-REG,Yes,Student Information System
MU-103115,ACC-LOCKED,No,Account & Access Management
MU-101963,ACC-PWD-RESET,No,Account & Access Management
MU-104674,SIS-REG,Yes,Student Information System
MU-102463,LMS-COURSE-MISSING,Yes,Learning Management System
MU-103747,NET-SLOW,Yes,Network & Connectivity
MU-100312,ACC-PWD-RESET,Yes,Account & Access Management
MU-104685,ACC-LOCKED,Yes,Account & Access Management
MU-100562,NET-LAN-PORT,Yes,Network & Connectivity
