Ticket ID,Subject,Description,Category,Subcategory,Department,Assigned Resolver,Assigned Team,Status,Resolution Notes,Created,Resolved,Reassigned
MU-103971,Forgot password,"Hello, My login keeps failing in the staff room. this is for my staff domain account.",Account & Access Management,Password reset,Finance Department,ICT-SYS-03,Systems & Accounts Team,Closed,"Verified the requester's identity against staff/student records, reset the account password in Active Directory and issued a temporary password with a forced change at next logon.",2024-09-13 07:21,2024-09-13 11:17,No
MU-104259,Issue affecting my work,"Dear ICT, Permission is denied when i try. i would appreciate your help. Thank you.",Network & Connectivity,Wi-Fi,School of Law,ICT-NET-02,Network Team,Closed,Reset the wireless access point serving the block and re-authenticated the user device on MU-WiFi. Confirmed connectivity restored.,2025-03-19 15:50,2025-03-21 06:59,No
MU-101454,Online meeting issue,"Good morning, I have no access in our department. kindly treat as urgent. Kindly assist.",Application Support,Online meetings,School of Science,ICT-APP-01,Applications Support Team,Closed,"Reinstalled the conferencing client, granted the required microphone and camera permissions and validated a test meeting session with the user. Ticket closed.",2024-05-04 07:47,2024-05-05 06:57,No
MU-104517,SUPPORT REQUEST,"Good morning, It has refuseed to work and there is no wifi in our block since this morning. my colleague is not having the same problem. Kindly assist.",Network & Connectivity,Wi-Fi,School of Science,ICT-NET-03,Network Team,Closed,Reset the wireless access point serving the block and re-authenticated the user device on MU-WiFi. Confirmed connectivity restored. Advised the user to report any recurrence.,2024-07-31 17:22,2024-08-01 01:11,No
MU-101250,Issue affecting my work,It refuses to let me in. it disconnects when i try to post a transaction since this morning. i would appreciate your help. Your assistance will be appreciated.,Application Support,ERP / Finance system,School of Engineering,ICT-APP-01,Applications Support Team,Closed,"Cleared the corrupted local client cache, updated the ERP client to the current build and re-established the database connection profile. Confirmed normal operation.",2024-01-21 09:21,2024-01-24 13:51,Yes
MU-102427,ISSUE AFFECTING MY WORK,Nothing is happening in our block. the deadline is today. i would appreciate your help.,Email & Collaboration,Mailbox quota,School of Science,ICT-SYS-04,Systems & Accounts Team,Closed,"Advised the user on archiving, purged deleted items and increased the mailbox quota in line with the ICT storage policy. Confirmed mail flow resumed.",2024-11-22 09:23,2024-11-24 02:44,Yes
MU-103501,Forgot password,I cannot login in lecture hall three. this is for my staff domain account since friday. Thanks in advance.,Account & Access Management,Password reset,Registrar (Academic),ICT-SYS-02,Systems & Accounts Team,Closed,"Verified the requester's identity against staff/student records, reset the account password in Active Directory and issued a temporary password with a forced change at next logon.",2025-11-22 14:23,2025-11-22 17:09,No
MU-104611,Cannot register unitts,"Greetings, My login keeps failing in our department. it says my registration is not allowed. i have already restarted the machine. kindly assist urgntly. Kindly assist.",Student Information System,Unit registration,University Library,ICT-MIS-02,MIS / SIS Support Team,Closed,"Confirmed fee-balance and academic-status flags blocking registration, cleared the eligibility block after finance confirmation and verified the student completed unit registration.",2024-10-06 10:32,2024-10-06 21:03,No
MU-100271,Request for new account,Kindly create an account. the new tutorial fellow reported this week. i have already restarted the machine. Awaiting your response.,Account & Access Management,New account,ICT Directorate,ICT-SYS-02,Systems & Accounts Team,Closed,"Created the domain account and mailbox from the approved appointment letter, assigned the departmental security groups and issued credentials to the user.",2024-06-02 10:51,2024-06-02 14:18,No
MU-101930,Portal login issue,"Dear Sir/Madam, It says my details are wrong. Awaiting your response.",Learning Management System,Access,ICT Directorate,ICT-ELN-01,eLearning Support Unit,Closed,Confirmed the account existed on the LMS but was not synchronised with the directory; re-synchronised the user record and verified successful login.,2025-04-19 13:31,2025-04-20 17:39,No
MU-104756,Kindly assist,"Greetings, It is givnig an error. the printouts are faint and streaky. i have a class shortly. please help. Awaiting your response.",Hardware & Equipment,Printer,Registrar (Academic),ICT-APP-02,Applications Support Team,Closed,"Cleared the paper path obstruction, replaced the worn pickup roller and ran a cleaning cycle. Confirmed clean output on a test print. User confirmed the issue was resolved.",2024-05-25 14:04,2024-05-27 22:01,No
